turno,voto_nome,escola,voto_qtd,percentual_votos
1,Branco,Andreo,226,8.342561830933924
1,Branco,Barbosa Lima,196,7.235142118863049
1,Branco,Barozi,251,9.265411590992986
1,Branco,Belucio,188,6.9398301956441495
1,Branco,Brasitânia,61,2.2517534145441123
1,Branco,Cafaro,155,5.721668512366187
1,Branco,Coronel,103,3.802141011443337
1,Branco,EELAS,72,2.6578073089700998
1,Branco,ETEC,122,4.5035068290882245
1,Branco,Ferrari,156,5.758582502768549
1,Branco,Ivonete,178,6.570690291620525
1,Branco,JAP,219,8.084163898117387
1,Branco,Koei Arakaki,86,3.1746031746031744
1,Branco,Pedro Malavazzi,153,5.647840531561462
1,Branco,Saturnino,227,8.379475821336287
1,Branco,Sesi,133,4.909560723514212
1,Branco,Tanuri,183,6.755260243632337
1,João Doria,Andreo,717,6.079362387654739
1,João Doria,Barbosa Lima,489,4.146176021705952
1,João Doria,Barozi,769,6.520264541292183
1,João Doria,Belucio,596,5.05341699169069
1,João Doria,Brasitânia,160,1.3566220111921317
1,João Doria,Cafaro,868,7.3596744107173135
1,João Doria,Coronel,1199,10.166186196371036
1,João Doria,EELAS,731,6.1980668136340515
1,João Doria,ETEC,669,5.672375784297101
1,João Doria,Ferrari,626,5.307783618789215
1,João Doria,Ivonete,881,7.469899949126675
1,João Doria,JAP,1132,9.598100729184331
1,João Doria,Koei Arakaki,218,1.8483974902492792
1,João Doria,Pedro Malavazzi,555,4.705782601322706
1,João Doria,Saturnino,904,7.664914363235543
1,João Doria,Sesi,742,6.291334576903511
1,João Doria,Tanuri,538,4.561641512633543
1,Lilian Miranda,Andreo,1,16.666666666666664
1,Lilian Miranda,Cafaro,1,16.666666666666664
1,Lilian Miranda,Coronel,1,16.666666666666664
1,Lilian Miranda,JAP,1,16.666666666666664
1,Lilian Miranda,Pedro Malavazzi,1,16.666666666666664
1,Lilian Miranda,Saturnino,1,16.666666666666664
1,Luiz Marinho,Andreo,225,7.1519389701207885
1,Luiz Marinho,Barbosa Lima,260,8.264462809917356
1,Luiz Marinho,Barozi,264,8.391608391608392
1,Luiz Marinho,Belucio,220,6.993006993006993
1,Luiz Marinho,Brasitânia,99,3.146853146853147
1,Luiz Marinho,Cafaro,143,4.545454545454546
1,Luiz Marinho,Coronel,93,2.9561347743165927
1,Luiz Marinho,EELAS,82,2.6064844246662426
1,Luiz Marinho,ETEC,153,4.863318499682136
1,Luiz Marinho,Ferrari,144,4.577240940877305
1,Luiz Marinho,Ivonete,209,6.643356643356643
1,Luiz Marinho,JAP,244,7.75588048315321
1,Luiz Marinho,Koei Arakaki,67,2.129688493324857
1,Luiz Marinho,Pedro Malavazzi,270,8.582326764144947
1,Luiz Marinho,Saturnino,291,9.249841068022887
1,Luiz Marinho,Sesi,127,4.0368722186904
1,Luiz Marinho,Tanuri,255,8.105530832803561
1,Major Costa E Silva,Andreo,54,5.304518664047151
1,Major Costa E Silva,Barbosa Lima,58,5.697445972495088
1,Major Costa E Silva,Barozi,66,6.4833005893909625
1,Major Costa E Silva,Belucio,66,6.4833005893909625
1,Major Costa E Silva,Brasitânia,12,1.1787819253438114
1,Major Costa E Silva,Cafaro,87,8.546168958742632
1,Major Costa E Silva,Coronel,97,9.528487229862476
1,Major Costa E Silva,EELAS,47,4.616895874263261
