turno,escola,voto_nome,voto_qtd,percentual_votos
1,Andreo,Branco,226,9.471919530595137
1,Andreo,João Doria,717,30.050293378038557
1,Andreo,Lilian Miranda,1,0.041911148365465216
1,Andreo,Luiz Marinho,225,9.430008382229675
1,Andreo,Major Costa E Silva,54,2.2632020117351215
1,Andreo,Marcelo Candido,27,1.1316010058675607
1,Andreo,Marcio França,317,13.285834031852472
1,Andreo,Nulo,351,14.71081307627829
1,Andreo,Paulo Skaf,354,14.836546521374686
1,Andreo,Professora Lisete,16,0.6705783738474435
1,Andreo,Rodrigo Tavares,61,2.556580050293378
1,Andreo,Rogerio Chequer,36,1.5088013411567478
1,Andreo,Toninho Ferreira,1,0.041911148365465216
1,Barbosa Lima,Branco,196,10.82274986195472
1,Barbosa Lima,João Doria,489,27.00165654334622
1,Barbosa Lima,Luiz Marinho,260,14.356709000552181
1,Barbosa Lima,Major Costa E Silva,58,3.202650469353948
1,Barbosa Lima,Marcelo Candido,9,0.4969630038652678
1,Barbosa Lima,Marcio França,185,10.215350635008283
1,Barbosa Lima,Nulo,276,15.240198785201548
1,Barbosa Lima,Paulo Skaf,251,13.859745996686915
1,Barbosa Lima,Prof. Claudio Fernando,1,0.05521811154058532
1,Barbosa Lima,Professora Lisete,16,0.8834897846493651
1,Barbosa Lima,Rodrigo Tavares,44,2.4295969077857538
1,Barbosa Lima,Rogerio Chequer,26,1.4356709000552181
1,Barozi,Branco,251,8.970693352394568
1,Barozi,João Doria,769,27.483917083631166
1,Barozi,Luiz Marinho,264,9.43531093638313
1,Barozi,Major Costa E Silva,66,2.3588277340957826
1,Barozi,Marcelo Candido,13,0.46461758398856323
1,Barozi,Marcio França,382,13.652609006433167
1,Barozi,Nulo,425,15.189421015010721
1,Barozi,Paulo Skaf,515,18.406004288777698
1,Barozi,Prof. Claudio Fernando,1,0.035739814152966405
1,Barozi,Professora Lisete,24,0.8577555396711937
1,Barozi,Rodrigo Tavares,52,1.858470335954253
1,Barozi,Rogerio Chequer,36,1.2866333095067906
1,Belucio,Branco,188,8.491418247515808
1,Belucio,João Doria,596,26.919602529358627
1,Belucio,Luiz Marinho,220,9.936766034327011
