turno,escola,voto_nome,voto_qtd,percentual_votos
1,Andreo,Alvaro Dias,12,0.5029337803855826
1,Andreo,Branco,90,3.7720033528918693
1,Andreo,Cabo Daciolo,11,0.4610226320201173
1,Andreo,Ciro Gomes,166,6.957250628667226
1,Andreo,Eymael,2,0.08382229673093043
1,Andreo,Fernando Haddad,435,18.23134953897737
1,Andreo,Geraldo Alckmin,223,9.346186085498742
1,Andreo,Guilherme Boulos,9,0.37720033528918695
1,Andreo,Henrique Meirelles,22,0.9220452640402346
1,Andreo,Jair Bolsonaro,1178,49.371332774518024
1,Andreo,João Amoêdo,75,3.143336127409891
1,Andreo,João Goulart Filho,1,0.041911148365465216
1,Andreo,Marina Silva,19,0.7963118189438391
1,Andreo,Nulo,142,5.951383067896061
1,Andreo,Vera,1,0.041911148365465216
1,Barbosa Lima,Alvaro Dias,3,0.16565433462175594
1,Barbosa Lima,Branco,80,4.417448923246825
1,Barbosa Lima,Cabo Daciolo,6,0.3313086692435119
1,Barbosa Lima,Ciro Gomes,96,5.30093870789619
1,Barbosa Lima,Eymael,2,0.11043622308117064
1,Barbosa Lima,Fernando Haddad,423,23.35726118166759
1,Barbosa Lima,Geraldo Alckmin,203,11.209276642738818
1,Barbosa Lima,Guilherme Boulos,4,0.22087244616234128
1,Barbosa Lima,Henrique Meirelles,12,0.6626173384870238
1,Barbosa Lima,Jair Bolsonaro,813,44.89232468249586
1,Barbosa Lima,João Amoêdo,37,2.043070127001657
1,Barbosa Lima,João Goulart Filho,1,0.05521811154058532
1,Barbosa Lima,Marina Silva,8,0.44174489232468256
1,Barbosa Lima,Nulo,123,6.7918277194919945
1,Barozi,Alvaro Dias,14,0.5003573981415297
1,Barozi,Branco,106,3.7884203002144385
1,Barozi,Cabo Daciolo,20,0.7147962830593281
1,Barozi,Ciro Gomes,168,6.004288777698355
1,Barozi,Eymael,1,0.035739814152966405
1,Barozi,Fernando Haddad,463,16.547533952823446
1,Barozi,Geraldo Alckmin,266,9.506790564689064
1,Barozi,Guilherme Boulos,6,0.21443888491779842
1,Barozi,Henrique Meirelles,21,0.7505360972122944
1,Barozi,Jair Bolsonaro,1452,51.89421015010722
1,Barozi,João Amoêdo,100,3.5739814152966405
1,Barozi,João Goulart Filho,1,0.035739814152966405
1,Barozi,Marina Silva,6,0.21443888491779842
1,Barozi,Nulo,174,6.218727662616154
1,Belucio,Alvaro Dias,6,0.27100271002710025
1,Belucio,Branco,84,3.7940379403794036
1,Belucio,Cabo Daciolo,23,1.038843721770551
1,Belucio,Ciro Gomes,151,6.820234869015357
1,Belucio,Eymael,1,0.045167118337850046
1,Belucio,Fernando Haddad,371,16.757000903342366
1,Belucio,Geraldo Alckmin,199,8.988256549232158
1,Belucio,Guilherme Boulos,3,0.13550135501355012
1,Belucio,Henrique Meirelles,20,0.9033423667570009
1,Belucio,Jair Bolsonaro,1098,49.59349593495935
1,Belucio,João Amoêdo,70,3.1616982836495033
1,Belucio,Marina Silva,13,0.5871725383920506
1,Belucio,Nulo,170,7.678410117434507
1,Belucio,Vera,5,0.22583559168925021
1,Brasitânia,Alvaro Dias,2,0.3472222222222222
1,Brasitânia,Branco,27,4.6875
1,Brasitânia,Cabo Daciolo,4,0.6944444444444444
1,Brasitânia,Ciro Gomes,28,4.861111111111112
1,Brasitânia,Fernando Haddad,158,27.430555555555557
1,Brasitânia,Geraldo Alckmin,59,10.243055555555555
1,Brasitânia,Guilherme Boulos,1,0.1736111111111111
1,Brasitânia,Henrique Meirelles,3,0.5208333333333333
1,Brasitânia,Jair Bolsonaro,246,42.70833333333333
1,Brasitânia,João Amoêdo,15,2.604166666666667
1,Brasitânia,Marina Silva,3,0.5208333333333333
1,Brasitânia,Nulo,30,5.208333333333334
1,Cafaro,Alvaro Dias,8,0.29207740051113545
1,Cafaro,Branco,66,2.4096385542168677
1,Cafaro,Cabo Daciolo,10,0.36509675063891933
1,Cafaro,Ciro Gomes,199,7.265425337714494
1,Cafaro,Fernando Haddad,293,10.697334793720335
1,Cafaro,Geraldo Alckmin,220,8.032128514056225
1,Cafaro,Guilherme Boulos,5,0.18254837531945967
1,Cafaro,Henrique Meirelles,18,0.6571741511500547
1,Cafaro,Jair Bolsonaro,1679,61.29974443227455
1,Cafaro,João Amoêdo,116,4.235122307411464
1,Cafaro,Marina Silva,9,0.32858707557502737
1,Cafaro,Nulo,114,4.16210295728368
1,Cafaro,Vera,2,0.07301935012778386
1,Coronel,Alvaro Dias,21,0.7094594594594595
1,Coronel,Branco,32,1.0810810810810811
1,Coronel,Cabo Daciolo,4,0.13513513513513514
1,Coronel,Ciro Gomes,281,9.493243243243244
1,Coronel,Eymael,2,0.06756756756756757
1,Coronel,Fernando Haddad,215,7.263513513513513
1,Coronel,Geraldo Alckmin,204,6.891891891891892
1,Coronel,Guilherme Boulos,6,0.20270270270270271
1,Coronel,Henrique Meirelles,14,0.472972972972973
1,Coronel,Jair Bolsonaro,1869,63.14189189189189
1,Coronel,João Amoêdo,203,6.858108108108107
1,Coronel,João Goulart Filho,1,0.033783783783783786
1,Coronel,Marina Silva,14,0.472972972972973
1,Coronel,Nulo,94,3.175675675675676
1,EELAS,Alvaro Dias,7,0.36591740721380034
1,EELAS,Branco,23,1.2023000522739153
1,EELAS,Cabo Daciolo,5,0.26136957658128596
1,EELAS,Ciro Gomes,107,5.5933089388395185
1,EELAS,Fernando Haddad,160,8.36382645060115
1,EELAS,Geraldo Alckmin,181,9.46157867224255
1,EELAS,Guilherme Boulos,1,0.052273915316257184
1,EELAS,Henrique Meirelles,11,0.575013068478829
1,EELAS,Jair Bolsonaro,1258,65.76058546785154
1,EELAS,João Amoêdo,63,3.293256664924203
1,EELAS,Marina Silva,5,0.26136957658128596
1,EELAS,Nulo,92,4.809200209095661
1,ETEC,Alvaro Dias,17,0.8525576730190572
1,ETEC,Branco,34,1.7051153460381143
1,ETEC,Cabo Daciolo,12,0.6018054162487462
1,ETEC,Ciro Gomes,174,8.72617853560682
1,ETEC,Fernando Haddad,238,11.9358074222668
1,ETEC,Geraldo Alckmin,142,7.12136409227683
1,ETEC,Guilherme Boulos,8,0.4012036108324975
1,ETEC,Henrique Meirelles,15,0.7522567703109327
1,ETEC,Jair Bolsonaro,1195,59.929789368104316
1,ETEC,João Amoêdo,62,3.1093279839518555
1,ETEC,Marina Silva,10,0.5015045135406219
1,ETEC,Nulo,87,4.36308926780341
1,Ferrari,Alvaro Dias,11,0.5238095238095238
1,Ferrari,Branco,68,3.2380952380952377
1,Ferrari,Cabo Daciolo,7,0.33333333333333337
1,Ferrari,Ciro Gomes,136,6.476190476190475
1,Ferrari,Fernando Haddad,254,12.095238095238095
1,Ferrari,Geraldo Alckmin,171,8.142857142857144
1,Ferrari,Guilherme Boulos,7,0.33333333333333337
1,Ferrari,Henrique Meirelles,23,1.0952380952380953
1,Ferrari,Jair Bolsonaro,1246,59.333333333333336
1,Ferrari,João Amoêdo,55,2.619047619047619
1,Ferrari,Marina Silva,9,0.4285714285714286
1,Ferrari,Nulo,113,5.3809523809523805
1,Ivonete,Alvaro Dias,19,0.674237047551455
1,Ivonete,Branco,86,3.0518097941802695
1,Ivonete,Cabo Daciolo,4,0.14194464158977999
1,Ivonete,Ciro Gomes,204,7.23917672107878
1,Ivonete,Eymael,1,0.035486160397444996
1,Ivonete,Fernando Haddad,338,11.994322214336409
1,Ivonete,Geraldo Alckmin,296,10.50390347764372
1,Ivonete,Guilherme Boulos,5,0.17743080198722497
1,Ivonete,Henrique Meirelles,21,0.7452093683463449
1,Ivonete,Jair Bolsonaro,1588,56.35202271114266
1,Ivonete,João Amoêdo,85,3.0163236337828248
1,Ivonete,Marina Silva,18,0.63875088715401
1,Ivonete,Nulo,151,5.3584102200141945
1,Ivonete,Vera,2,0.07097232079488999
1,JAP,Alvaro Dias,18,0.5250875145857643
1,JAP,Branco,116,3.38389731621937
1,JAP,Cabo Daciolo,16,0.4667444574095682
1,JAP,Ciro Gomes,269,7.847141190198366
1,JAP,Eymael,3,0.08751458576429405
1,JAP,Fernando Haddad,418,12.193698949824972
1,JAP,Geraldo Alckmin,289,8.430571761960328
1,JAP,Guilherme Boulos,10,0.29171528588098017
1,JAP,Henrique Meirelles,25,0.7292882147024504
1,JAP,Jair Bolsonaro,1963,57.263710618436406
1,JAP,João Amoêdo,143,4.171528588098016
1,JAP,João Goulart Filho,1,0.029171528588098013
1,JAP,Marina Silva,16,0.4667444574095682
1,JAP,Nulo,140,4.084014002333722
1,JAP,Vera,1,0.029171528588098013
1,Koei Arakaki,Alvaro Dias,2,0.26007802340702213
1,Koei Arakaki,Branco,39,5.071521456436931
1,Koei Arakaki,Cabo Daciolo,5,0.6501950585175552
1,Koei Arakaki,Ciro Gomes,74,9.622886866059819
1,Koei Arakaki,Eymael,2,0.26007802340702213
1,Koei Arakaki,Fernando Haddad,129,16.775032509752926
1,Koei Arakaki,Geraldo Alckmin,79,10.273081924577374
1,Koei Arakaki,Henrique Meirelles,8,1.0403120936280885
1,Koei Arakaki,Jair Bolsonaro,338,43.953185955786736
1,Koei Arakaki,João Amoêdo,29,3.7711313394018204
1,Koei Arakaki,Marina Silva,4,0.5201560468140443
1,Koei Arakaki,Nulo,60,7.802340702210664
1,Pedro Malavazzi,Alvaro Dias,7,0.35035035035035034
1,Pedro Malavazzi,Branco,74,3.7037037037037033
1,Pedro Malavazzi,Cabo Daciolo,11,0.5505505505505506
1,Pedro Malavazzi,Ciro Gomes,103,5.155155155155155
1,Pedro Malavazzi,Fernando Haddad,395,19.76976976976977
1,Pedro Malavazzi,Geraldo Alckmin,189,9.45945945945946
1,Pedro Malavazzi,Guilherme Boulos,3,0.15015015015015015
1,Pedro Malavazzi,Henrique Meirelles,19,0.9509509509509511
1,Pedro Malavazzi,Jair Bolsonaro,990,49.549549549549546
1,Pedro Malavazzi,João Amoêdo,49,2.4524524524524525
1,Pedro Malavazzi,Marina Silva,7,0.35035035035035034
1,Pedro Malavazzi,Nulo,149,7.4574574574574575
1,Pedro Malavazzi,Vera,2,0.10010010010010009
1,Saturnino,Alvaro Dias,11,0.358656667753505
