"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_PLEITO";"DT_PLEITO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_ UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_LOCAL_VOTACAO";"CD_CARGO_PERGUNTA";"DS_CARGO_PERGUNTA";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"QT_APTOS";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"CD_TIPO_URNA";"DS_TIPO_URNA";"CD_TIPO_VOTAVEL";"DS_TIPO_VOTAVEL";"NR_VOTAVEL";"NM_VOTAVEL";"QT_VOTOS";"NR_URNA_EFETIVADA";"CD_CARGA_1_URNA_EFETIVADA";"CD_CARGA_2_URNA_EFETIVADA";"CD_FLASCARD_URNA_EFETIVADA";"DT_CARGA_URNA_EFETIVADA";"DS_CARGO_PERGUNTA_SECAO";"DS_AGREGADAS";"DT_ABERTURA";"DT_ENCERRAMENTO";"QT_ELEITORES_BIOMETRIA_NH";"NR_JUNTA_APURADORA";"NR_TURMA_APURADORA"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"1";"1015";"1";"Presidente";"#NULO#";"#NULO#";"#NULO#";"337";"222";"115";"1";"Apurada";"2";"Branco";"95";"Branco";"2";"1309662";"328.876.436.974.354.929.";"780.638";"50A7DA41";"26/09/2018 09:04:00";"1 - 1";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:36";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"1";"1015";"1";"Presidente";"#NULO#";"#NULO#";"#NULO#";"337";"222";"115";"1";"Apurada";"3";"Nulo";"96";"Nulo";"12";"1309662";"328.876.436.974.354.929.";"780.638";"50A7DA41";"26/09/2018 09:04:00";"1 - 1";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:36";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"1";"1015";"1";"Presidente";"13";"PT";"Partido dos Trabalhadores";"337";"222";"115";"1";"Apurada";"1";"Nominal";"13";"FERNANDO HADDAD";"34";"1309662";"328.876.436.974.354.929.";"780.638";"50A7DA41";"26/09/2018 09:04:00";"1 - 1";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:36";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"1";"1015";"1";"Presidente";"17";"PSL";"Partido Social Liberal";"337";"222";"115";"1";"Apurada";"1";"Nominal";"17";"JAIR BOLSONARO";"174";"1309662";"328.876.436.974.354.929.";"780.638";"50A7DA41";"26/09/2018 09:04:00";"1 - 1";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:36";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"10";"1023";"1";"Presidente";"#NULO#";"#NULO#";"#NULO#";"392";"273";"119";"1";"Apurada";"2";"Branco";"95";"Branco";"5";"1838182";"864.230.936.928.323.339.";"798.481";"50A7DA41";"26/09/2018 10:09:00";"1 - 10";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:34";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"10";"1023";"1";"Presidente";"#NULO#";"#NULO#";"#NULO#";"392";"273";"119";"1";"Apurada";"3";"Nulo";"96";"Nulo";"19";"1838182";"864.230.936.928.323.339.";"798.481";"50A7DA41";"26/09/2018 10:09:00";"1 - 10";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:34";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"10";"1023";"1";"Presidente";"13";"PT";"Partido dos Trabalhadores";"392";"273";"119";"1";"Apurada";"1";"Nominal";"13";"FERNANDO HADDAD";"56";"1838182";"864.230.936.928.323.339.";"798.481";"50A7DA41";"26/09/2018 10:09:00";"1 - 10";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:34";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"10";"1023";"1";"Presidente";"17";"PSL";"Partido Social Liberal";"392";"273";"119";"1";"Apurada";"1";"Nominal";"17";"JAIR BOLSONARO";"193";"1838182";"864.230.936.928.323.339.";"798.481";"50A7DA41";"26/09/2018 10:09:00";"1 - 10";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:34";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"100";"1104";"1";"Presidente";"#NULO#";"#NULO#";"#NULO#";"387";"287";"100";"1";"Apurada";"2";"Branco";"95";"Branco";"10";"1306677";"217.765.308.746.876.385.";"912.014";"33EB24AA";"26/09/2018 15:04:00";"1 - 100";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:30";"0";"#NULO#";"#NULO#"
"30/10/2018";"17:56:56";"2018";"229";"28/10/2018";"2";"296";"Eleição Geral Federal 2018";"28/10/2018";"SP";"64114";"FERNANDÓPOLIS";"150";"100";"1104";"1";"Presidente";"#NULO#";"#NULO#";"#NULO#";"387";"287";"100";"1";"Apurada";"3";"Nulo";"96";"Nulo";"28";"1306677";"217.765.308.746.876.385.";"912.014";"33EB24AA";"26/09/2018 15:04:00";"1 - 100";"#NULO#";"28/10/2018 08:00:00";"28/10/2018 17:00:30";"0";"#NULO#";"#NULO#"
