turno,voto_nome,escola,voto_qtd,percentual_votos
1,Alvaro Dias,Andreo,12,7.100591715976331
1,Alvaro Dias,Barbosa Lima,3,1.7751479289940828
1,Alvaro Dias,Barozi,14,8.284023668639055
1,Alvaro Dias,Belucio,6,3.5502958579881656
1,Alvaro Dias,Brasitânia,2,1.183431952662722
1,Alvaro Dias,Cafaro,8,4.733727810650888
1,Alvaro Dias,Coronel,21,12.42603550295858
1,Alvaro Dias,EELAS,7,4.142011834319527
1,Alvaro Dias,ETEC,17,10.059171597633137
1,Alvaro Dias,Ferrari,11,6.508875739644971
1,Alvaro Dias,Ivonete,19,11.242603550295858
1,Alvaro Dias,JAP,18,10.650887573964498
1,Alvaro Dias,Koei Arakaki,2,1.183431952662722
1,Alvaro Dias,Pedro Malavazzi,7,4.142011834319527
1,Alvaro Dias,Saturnino,11,6.508875739644971
1,Alvaro Dias,Sesi,6,3.5502958579881656
1,Alvaro Dias,Tanuri,5,2.9585798816568047
1,Branco,Andreo,90,7.83289817232376
1,Branco,Barbosa Lima,80,6.962576153176675
1,Branco,Barozi,106,9.225413402959095
1,Branco,Belucio,84,7.310704960835509
1,Branco,Brasitânia,27,2.3498694516971277
1,Branco,Cafaro,66,5.7441253263707575
1,Branco,Coronel,32,2.78503046127067
1,Branco,EELAS,23,2.0017406440382945
1,Branco,ETEC,34,2.959094865100087
1,Branco,Ferrari,68,5.918189730200174
1,Branco,Ivonete,86,7.484769364664926
1,Branco,JAP,116,10.095735422106179
1,Branco,Koei Arakaki,39,3.3942558746736298
1,Branco,Pedro Malavazzi,74,6.440382941688425
1,Branco,Saturnino,98,8.529155787641427
1,Branco,Sesi,52,4.525674499564839
1,Branco,Tanuri,74,6.440382941688425
1,Cabo Daciolo,Andreo,11,6.432748538011696
1,Cabo Daciolo,Barbosa Lima,6,3.508771929824561
1,Cabo Daciolo,Barozi,20,11.695906432748536
1,Cabo Daciolo,Belucio,23,13.450292397660817
1,Cabo Daciolo,Brasitânia,4,2.3391812865497075
1,Cabo Daciolo,Cafaro,10,5.847953216374268
